,NewsOrg,Tweets,Time,Compound Score,Positive Score,Negative Score,Neutral Score
29,BBC,"Don't miss the highlights from the Gymnastics World Cup! 🤸🤸‍♀️🇬🇧

World Cup Gymnastics | @BBCOne | 2:05pm |… https://t.co/7mpufyeEMo",Sat Mar 24 12:33:04 +0000 2018,0.1867,0.098,0.0,0.902
30,BBC,"How much do you know about horses? Take this quiz to see if you are an equestrian expert…🐴

https://t.co/ChGCB9Xi1W https://t.co/P9UgJ99nsx",Sat Mar 24 11:29:04 +0000 2018,0.0,0.0,0.0,1.0
31,BBC,"Meet Hester, the 10-year-old visually impaired skier who's hoping for Paralympic gold one day. ⛷🥇https://t.co/6aiUaTc3yS",Sat Mar 24 10:31:01 +0000 2018,0.4215,0.167,0.0,0.833
32,BBC,"""The enthusiastic viewer should feel he is almost the man on the spot!"" 

In 1949, the BBC announced it would telev… https://t.co/WEoPpkrW1V",Sat Mar 24 10:03:01 +0000 2018,0.5411,0.143,0.0,0.857
33,BBC,RT @BBCNewsNI: Prince Harry and Meghan Markle are visiting Northern Ireland https://t.co/ODxLd1LIr8 https://t.co/s0zPTXj3Tk,Sat Mar 24 09:42:34 +0000 2018,0.0,0.0,0.0,1.0
34,BBC,"RT @bbcf1: Lewis Hamilton took the first pole of the season in spectacular style ⚡️

https://t.co/a7YDOx0FlQ",Sat Mar 24 09:32:59 +0000 2018,0.0,0.0,0.0,1.0
35,BBC,"RT @sportrelief: A humongous THANK YOU to everyone who has taken part, fund-raised &amp; watched over the past weeks &amp; tonight. The #SportRelie…",Sat Mar 24 09:31:30 +0000 2018,0.4995,0.133,0.0,0.867
36,BBC,RT @sportrelief: The nation has joined together for this year's #SportRelief pulling out all the stops to make their steps count. Well done…,Sat Mar 24 09:31:26 +0000 2018,0.128,0.085,0.065,0.85
37,BBC,🥑A Cultural history of the avocado: https://t.co/jo1UyWlVw7 https://t.co/7VF6pBpG57,Sat Mar 24 09:30:13 +0000 2018,0.0,0.0,0.0,1.0
38,BBC,"Meet Alexandre, one of the only male performers of ‘baladi’ – also known as belly dancing – in the Middle East. 🎶

 https://t.co/K12N1Y6PU7",Sat Mar 24 08:33:02 +0000 2018,0.0,0.0,0.0,1.0
